AGE,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
42,1,1,0,25000.0,1,0,1,0.0,1
28,1,1,1,10000.0,1,0,1,0.0,0
64,0,2,0,30000.0,1,1,1,1.0,0
54,1,0,0,25000.0,1,0,1,0.0,0
26,0,1,1,15000.0,1,0,2,2.0,0
63,1,2,0,7800.0,0,1,1,1.0,0
32,0,0,0,12000.0,1,0,1,0.0,1
52,1,1,0,8000.0,1,0,3,3.0,0
47,0,2,0,10000.0,1,0,1,0.0,0
23,1,0,0,7000.0,1,0,1,1.0,0
42,1,2,1,9000.0,1,0,1,0.0,0
31,1,0,0,12000.0,1,0,1,0.0,0
37,1,2,2,20000.0,1,0,1,0.0,0
52,1,3,0,5500.0,0,1,1,0.0,0
46,1,2,0,55000.0,1,0,2,2.0,0
28,1,1,1,8500.0,1,0,1,0.0,0
62,1,0,0,8000.0,0,1,1,0.0,0
50,0,1,0,20000.0,1,0,1,0.0,0
30,1,2,2,5000.0,1,0,1,0.0,1
64,0,0,0,9000.0,0,1,1,0.0,0
41,1,0,0,6500.0,1,0,1,0.0,0
27,1,0,0,7000.0,1,0,1,1.0,0
41,1,0,0,8000.0,1,0,1,1.0,0
30,1,0,0,15000.0,1,0,3,2.0,0
61,1,2,0,27000.0,1,1,1,0.0,0
38,1,0,1,15000.0,1,0,3,1.0,0
51,1,0,0,6000.0,1,0,1,0.0,0
58,0,2,0,10500.0,0,1,1,0.0,0
35,0,1,1,15000.0,1,0,2,2.0,0
45,0,2,1,20000.0,1,0,4,4.0,0
25,1,0,0,9000.0,1,0,2,2.0,0
62,1,2,0,13000.0,1,1,1,0.0,0
30,1,1,1,11000.0,1,0,1,0.0,0
56,1,3,0,20000.0,1,1,1,1.0,0
36,1,1,1,15000.0,1,0,1,0.0,0
55,1,2,0,13000.0,1,0,1,0.0,0
29,0,1,1,25000.0,1,0,1,0.0,0
32,0,2,1,21000.0,1,0,1,0.0,0
36,0,1,1,15000.0,1,0,2,2.0,0
27,0,2,2,6500.0,1,0,1,0.0,0
41,0,3,2,10000.0,1,0,1,0.0,0
54,1,2,0,6500.0,0,1,1,0.0,0
52,0,1,0,30000.0,1,0,1,1.0,0
28,1,1,1,12000.0,1,0,1,0.0,0
26,1,1,1,8000.0,1,0,1,0.0,0
27,0,1,1,20000.0,1,0,1,0.0,0
28,0,0,0,12000.0,1,0,1,0.0,1
25,1,1,1,11000.0,1,0,1,0.0,0
39,1,2,2,8000.0,1,0,2,1.0,0
64,1,0,0,23000.0,1,0,1,0.0,1
43,0,1,1,20000.0,1,0,1,0.0,0
44,0,0,0,22000.0,1,0,1,0.0,0
34,1,2,2,15000.0,1,0,1,0.0,0
34,1,1,1,7000.0,1,0,2,2.0,1
51,1,1,0,7500.0,1,0,2,2.0,0
40,0,2,2,15000.0,1,0,1,0.0,0
27,0,1,1,12000.0,1,0,1,0.0,1
29,0,0,0,20000.0,1,0,1,1.0,0
42,1,2,2,11000.0,1,0,1,0.0,0
50,1,1,0,10000.0,1,0,1,0.0,0
26,0,1,1,15000.0,1,0,1,1.0,0
22,0,0,0,10000.0,1,0,1,0.0,1
57,0,2,1,23000.0,1,1,1,0.0,0
50,1,0,0,15000.0,1,0,1,0.0,0
35,0,1,1,12500.0,1,0,1,0.0,0
55,1,1,0,20000.0,1,1,2,2.0,0
34,0,0,1,12000.0,1,0,3,3.0,0
